CountyCode,CountyName,ElectionName,PrecinctID,RegisteredTotal,RegisteredRepublican,RegisteredDemocrat,ContestName,District,YesVotes,NoVotes,key
ALA,Alachua,2024 General Election,52,2365,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1018,1087,ALA52
ALA,Alachua,2024 General Election,53,2798,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1236,952,ALA53
ALA,Alachua,2024 General Election,54,2910,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1733,518,ALA54
ALA,Alachua,2024 General Election,55,1113,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,626,161,ALA55
ALA,Alachua,2024 General Election,56,3192,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1563,1161,ALA56
ALA,Alachua,2024 General Election,57,2187,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1293,365,ALA57
ALA,Alachua,2024 General Election,58,3980,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2012,1289,ALA58
ALA,Alachua,2024 General Election,59,3072,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2469,766,ALA59
ALA,Alachua,2024 General Election,60,3743,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1713,1464,ALA60
ALA,Alachua,2024 General Election,61,2821,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1600,819,ALA61
ALA,Alachua,2024 General Election,62,2139,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1183,623,ALA62
ALA,Alachua,2024 General Election,63,2551,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1280,941,ALA63
BAK,Baker,2024 General Election,1A,2578,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,907,1004,BAK1A
BAK,Baker,2024 General Election,2A,3911,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1358,1487,BAK2A
BAK,Baker,2024 General Election,3A,3768,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1326,1587,BAK3A
BAK,Baker,2024 General Election,4A,235,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,84,101,BAK4A
BAK,Baker,2024 General Election,4B,769,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,253,344,BAK4B
BAK,Baker,2024 General Election,4C,2349,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,733,1269,BAK4C
BAK,Baker,2024 General Election,4D,1255,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,412,589,BAK4D
BAK,Baker,2024 General Election,5A,3925,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1342,1866,BAK5A
BAK,Baker,2024 General Election,6A,308,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,98,138,BAK6A
BAY,Bay,2024 General Election,1,2558,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1028,760,BAY1
BAY,Bay,2024 General Election,2,2093,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,866,728,BAY2
BAY,Bay,2024 General Election,3,2353,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,952,949,BAY3
BAY,Bay,2024 General Election,4,3425,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1361,1105,BAY4
BAY,Bay,2024 General Election,4A,6033,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2603,1970,BAY4A
BAY,Bay,2024 General Election,5,3680,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1429,1443,BAY5
BAY,Bay,2024 General Election,6,2759,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1321,1180,BAY6
BAY,Bay,2024 General Election,7,3771,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1635,1299,BAY7
BAY,Bay,2024 General Election,8,3682,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1459,1071,BAY8
BAY,Bay,2024 General Election,9,5426,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2289,1807,BAY9
BAY,Bay,2024 General Election,10,6189,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2456,1824,BAY10
BAY,Bay,2024 General Election,11,3995,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1646,1107,BAY11
BAY,Bay,2024 General Election,11A,4951,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2018,1393,BAY11A
BAY,Bay,2024 General Election,12,4712,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2071,1339,BAY12
BAY,Bay,2024 General Election,13,3428,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1308,1495,BAY13
BAY,Bay,2024 General Election,14,4327,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1700,1406,BAY14
BAY,Bay,2024 General Election,15,7505,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,3269,2224,BAY15
BAY,Bay,2024 General Election,16,5792,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2351,1709,BAY16
BAY,Bay,2024 General Election,17,6159,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2510,2290,BAY17
BAY,Bay,2024 General Election,18,5213,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2111,1742,BAY18
BAY,Bay,2024 General Election,19,6359,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2507,2511,BAY19
BAY,Bay,2024 General Election,20,8781,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,3251,3207,BAY20
BAY,Bay,2024 General Election,21,4854,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2170,905,BAY21
BAY,Bay,2024 General Election,22,1025,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,424,206,BAY22
BAY,Bay,2024 General Election,23,5300,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2078,1199,BAY23
BAY,Bay,2024 General Election,24,4066,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1635,1345,BAY24
BAY,Bay,2024 General Election,25,8626,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,3567,2417,BAY25
BAY,Bay,2024 General Election,26,1146,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,501,419,BAY26
BAY,Bay,2024 General Election,19A,4683,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1843,1825,BAY19A
BRA,Bradford,2024 General Election,1,1923,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,653,820,BRA1
BRA,Bradford,2024 General Election,2,707,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,297,182,BRA2
BRA,Bradford,2024 General Election,3,1828,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,628,807,BRA3
BRA,Bradford,2024 General Election,4,861,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,370,179,BRA4
BRA,Bradford,2024 General Election,5,1418,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,498,634,BRA5
BRA,Bradford,2024 General Election,6,1543,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,637,365,BRA6
BRA,Bradford,2024 General Election,7,1899,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,820,569,BRA7
BRA,Bradford,2024 General Election,8,1192,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,446,439,BRA8
BRA,Bradford,2024 General Election,9,1504,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,585,541,BRA9
BRA,Bradford,2024 General Election,10,1178,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,414,538,BRA10
BRA,Bradford,2024 General Election,11,1347,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,481,513,BRA11
BRA,Bradford,2024 General Election,12,2124,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,782,955,BRA12
BRA,Bradford,2024 General Election,13,810,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,273,374,BRA13
BRE,Brevard,2024 General Election,100,2142,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,968,745,BRE100
BRE,Brevard,2024 General Election,102,6947,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,3125,2473,BRE102
BRE,Brevard,2024 General Election,103,3473,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1449,1464,BRE103
BRE,Brevard,2024 General Election,104,5182,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2193,2062,BRE104
