Geography,Geographic Area Name,median_household_income
1400000US12005001700,Census Tract 17; Bay County; Florida,47945
1400000US12005001800,Census Tract 18; Bay County; Florida,58845
1400000US12005001900,Census Tract 19; Bay County; Florida,77141
1400000US12005002000,Census Tract 20; Bay County; Florida,31426
1400000US12005002200,Census Tract 22; Bay County; Florida,50756
1400000US12005002300,Census Tract 23; Bay County; Florida,63708
1400000US12005002400,Census Tract 24; Bay County; Florida,44312
1400000US12005002500,Census Tract 25; Bay County; Florida,96537
1400000US12005002604,Census Tract 26.04; Bay County; Florida,62658
1400000US12005002605,Census Tract 26.05; Bay County; Florida,78333
1400000US12005002606,Census Tract 26.06; Bay County; Florida,84162
1400000US12005002607,Census Tract 26.07; Bay County; Florida,52396
1400000US12005002608,Census Tract 26.08; Bay County; Florida,92955
1400000US12005002609,Census Tract 26.09; Bay County; Florida,76600
1400000US12005002703,Census Tract 27.03; Bay County; Florida,85139
1400000US12005002706,Census Tract 27.06; Bay County; Florida,69464
1400000US12005002707,Census Tract 27.07; Bay County; Florida,79898
1400000US12005002708,Census Tract 27.08; Bay County; Florida,95230
1400000US12005002709,Census Tract 27.09; Bay County; Florida,77995
1400000US12005002710,Census Tract 27.10; Bay County; Florida,71754
1400000US12005002711,Census Tract 27.11; Bay County; Florida,75250
1400000US12005002712,Census Tract 27.12; Bay County; Florida,80045
1400000US12005002713,Census Tract 27.13; Bay County; Florida,69948
1400000US12005990000,Census Tract 9900; Bay County; Florida,-
1400000US12007000100,Census Tract 1; Bradford County; Florida,47929
1400000US12007000201,Census Tract 2.01; Bradford County; Florida,61042
1400000US12007000202,Census Tract 2.02; Bradford County; Florida,40972
1400000US12007000301,Census Tract 3.01; Bradford County; Florida,80343
1400000US12007000302,Census Tract 3.02; Bradford County; Florida,60000
1400000US12007000400,Census Tract 4; Bradford County; Florida,63988
1400000US12009060103,Census Tract 601.03; Brevard County; Florida,69464
1400000US12009060104,Census Tract 601.04; Brevard County; Florida,50869
1400000US12009060105,Census Tract 601.05; Brevard County; Florida,63179
1400000US12009060106,Census Tract 601.06; Brevard County; Florida,88897
1400000US12009060201,Census Tract 602.01; Brevard County; Florida,77386
1400000US12009060202,Census Tract 602.02; Brevard County; Florida,101789
1400000US12009060301,Census Tract 603.01; Brevard County; Florida,70357
1400000US12009060302,Census Tract 603.02; Brevard County; Florida,52270
1400000US12009060400,Census Tract 604; Brevard County; Florida,53068
1400000US12009060500,Census Tract 605; Brevard County; Florida,67223
1400000US12009060600,Census Tract 606; Brevard County; Florida,61308
1400000US12009060700,Census Tract 607; Brevard County; Florida,33421
1400000US12009061001,Census Tract 610.01; Brevard County; Florida,58242
1400000US12009061002,Census Tract 610.02; Brevard County; Florida,57093
1400000US12009061100,Census Tract 611; Brevard County; Florida,81071
1400000US12009061201,Census Tract 612.01; Brevard County; Florida,77165
1400000US12009061202,Census Tract 612.02; Brevard County; Florida,84509
1400000US12009062106,Census Tract 621.06; Brevard County; Florida,58770
1400000US12009062108,Census Tract 621.08; Brevard County; Florida,84482
1400000US12009062109,Census Tract 621.09; Brevard County; Florida,64788
1400000US12009062110,Census Tract 621.10; Brevard County; Florida,84306
1400000US12009062111,Census Tract 621.11; Brevard County; Florida,80541
1400000US12009062112,Census Tract 621.12; Brevard County; Florida,101068
1400000US12009062113,Census Tract 621.13; Brevard County; Florida,79632
1400000US12009062114,Census Tract 621.14; Brevard County; Florida,53516
1400000US12009062115,Census Tract 621.15; Brevard County; Florida,68693
1400000US12009062301,Census Tract 623.01; Brevard County; Florida,47061
1400000US12009062302,Census Tract 623.02; Brevard County; Florida,36461
1400000US12009062401,Census Tract 624.01; Brevard County; Florida,48765
1400000US12009062402,Census Tract 624.02; Brevard County; Florida,30594
1400000US12009062500,Census Tract 625; Brevard County; Florida,41964
1400000US12009062600,Census Tract 626; Brevard County; Florida,65278
1400000US12009062800,Census Tract 628; Brevard County; Florida,72390
1400000US12009062900,Census Tract 629; Brevard County; Florida,63443
1400000US12009063000,Census Tract 630; Brevard County; Florida,84479
1400000US12009063102,Census Tract 631.02; Brevard County; Florida,84636
1400000US12009063104,Census Tract 631.04; Brevard County; Florida,100962
1400000US12009063105,Census Tract 631.05; Brevard County; Florida,91879
1400000US12009063106,Census Tract 631.06; Brevard County; Florida,109103
1400000US12009063108,Census Tract 631.08; Brevard County; Florida,111146
1400000US12009063109,Census Tract 631.09; Brevard County; Florida,73186
1400000US12009064102,Census Tract 641.02; Brevard County; Florida,109018
1400000US12009064123,Census Tract 641.23; Brevard County; Florida,69276
1400000US12009064124,Census Tract 641.24; Brevard County; Florida,63681
1400000US12009064126,Census Tract 641.26; Brevard County; Florida,79337
1400000US12009064127,Census Tract 641.27; Brevard County; Florida,109157
1400000US12009064128,Census Tract 641.28; Brevard County; Florida,121109
1400000US12009064129,Census Tract 641.29; Brevard County; Florida,111310
1400000US12009064130,Census Tract 641.30; Brevard County; Florida,95739
1400000US12009064201,Census Tract 642.01; Brevard County; Florida,62891
1400000US12009064202,Census Tract 642.02; Brevard County; Florida,38654
1400000US12009064301,Census Tract 643.01; Brevard County; Florida,49032
1400000US12009064302,Census Tract 643.02; Brevard County; Florida,63493
1400000US12009064400,Census Tract 644; Brevard County; Florida,87663
1400000US12009064500,Census Tract 645; Brevard County; Florida,60707
1400000US12009064601,Census Tract 646.01; Brevard County; Florida,80909
1400000US12009064602,Census Tract 646.02; Brevard County; Florida,60655
1400000US12009064701,Census Tract 647.01; Brevard County; Florida,43030
1400000US12009064702,Census Tract 647.02; Brevard County; Florida,63050
1400000US12009064800,Census Tract 648; Brevard County; Florida,33690
1400000US12009064901,Census Tract 649.01; Brevard County; Florida,68509
1400000US12009064902,Census Tract 649.02; Brevard County; Florida,33691
1400000US12009065001,Census Tract 650.01; Brevard County; Florida,102768
1400000US12009065022,Census Tract 650.22; Brevard County; Florida,81265
1400000US12009065023,Census Tract 650.23; Brevard County; Florida,73500
1400000US12009065024,Census Tract 650.24; Brevard County; Florida,90908
1400000US12009065025,Census Tract 650.25; Brevard County; Florida,77727
1400000US12009065123,Census Tract 651.23; Brevard County; Florida,57964
1400000US12009065124,Census Tract 651.24; Brevard County; Florida,36646
1400000US12009065126,Census Tract 651.26; Brevard County; Florida,48434
1400000US12009065127,Census Tract 651.27; Brevard County; Florida,86540
1400000US12009065128,Census Tract 651.28; Brevard County; Florida,35281
1400000US12009065129,Census Tract 651.29; Brevard County; Florida,65994
1400000US12009065130,Census Tract 651.30; Brevard County; Florida,58871
1400000US12009065131,Census Tract 651.31; Brevard County; Florida,65057
1400000US12009065201,Census Tract 652.01; Brevard County; Florida,55403
1400000US12009065202,Census Tract 652.02; Brevard County; Florida,57127
1400000US12009065231,Census Tract 652.31; Brevard County; Florida,122500
1400000US12009065236,Census Tract 652.36; Brevard County; Florida,107500
1400000US12009065237,Census Tract 652.37; Brevard County; Florida,48631
